TimeStamp (ms); Total Power (W); CPU (W); Monitor (W); Disk (W); Base (W); Application (W)
63476249085068;34,9;3,3;--;0,0;31,6;--
63476249086204;31,6;0,0;--;0,0;31,6;--
63476249087219;31,8;0,2;--;0,0;31,6;--
63476249088332;33,1;1,5;--;0,0;31,6;--
63476249089339;32,4;0,9;--;0,0;31,6;--
63476249090453;31,6;0,0;--;0,0;31,6;--
63476249091483;32,0;0,4;--;0,0;31,6;--
63476249092490;34,0;2,4;--;0,0;31,6;--
63476249093614;31,6;0,0;--;0,0;31,6;--
63476249094677;31,8;0,2;--;0,0;31,6;--
63476249095752;32,0;0,5;--;0,0;31,6;--
63476249096764;33,3;1,8;--;0,0;31,6;--
63476249097794;33,6;2,0;--;0,0;31,6;--
63476249098943;31,6;0,0;--;0,0;31,6;--
63476249099955;32,3;0,8;--;0,0;31,6;--
63476249100984;31,6;0,0;--;0,0;31,6;--
63476249102100;32,8;1,2;--;0,0;31,6;--
63476249103184;31,6;0,0;--;0,0;31,6;--
63476249104224;31,6;0,0;--;0,0;31,6;--
63476249105237;31,8;0,2;--;0,0;31,6;--
63476249106267;33,1;1,5;--;0,0;31,6;--
63476249107391;32,8;1,3;--;0,0;31,6;--
63476249108403;33,3;1,8;--;0,0;31,6;--
63476249109530;31,6;0,0;--;0,0;31,6;--
63476249110564;32,9;1,4;--;0,0;31,6;--
63476249111649;31,6;0,0;--;0,0;31,6;--
63476249112693;31,6;0,0;--;0,0;31,6;--
63476249113707;34,1;2,5;--;0,0;31,6;--
63476249114830;31,8;0,2;--;0,0;31,6;--
63476249115915;31,6;0,0;--;0,0;31,6;--
63476249116951;32,3;0,7;--;0,0;31,6;--
63476249117966;32,0;0,4;--;0,0;31,6;--
63476249118980;32,3;0,7;--;0,0;31,6;--
63476249120044;31,6;0,0;--;0,0;31,6;--
63476249121134;34,2;2,7;--;0,0;31,6;--
63476249122146;33,0;1,4;--;0,0;31,6;--
63476249123308;31,6;0,0;--;0,0;31,6;--
63476249124348;31,6;0,0;--;0,0;31,6;--
63476249125422;34,1;2,5;--;0,0;31,6;--
63476249126437;32,2;0,6;--;0,0;31,6;--
63476249127450;32,2;0,7;--;0,0;31,6;--
63476249128464;32,1;0,5;--;0,0;31,6;--
63476249129590;31,6;0,0;--;0,0;31,6;--
63476249130636;32,9;1,4;--;0,0;31,6;--
63476249131746;32,0;0,4;--;0,0;31,6;--
63476249132851;31,6;0,0;--;0,0;31,6;--
63476249133911;31,7;0,1;--;0,0;31,6;--
63476249134957;32,4;0,9;--;0,0;31,6;--
63476249136032;31,7;0,1;--;0,0;31,6;--
63476249137063;33,9;2,4;--;0,0;31,6;--
63476249138124;31,6;0,0;--;0,0;31,6;--
63476249139204;36,0;4,4;--;0,0;31,6;--
63476249140261;31,6;0,0;--;0,0;31,6;--
63476249141336;32,8;1,2;--;0,0;31,6;--
63476249142348;32,0;0,4;--;0,0;31,6;--
63476249143412;33,4;1,8;--;0,0;31,6;--
63476249144501;31,6;0,0;--;0,0;31,6;--
63476249145515;35,0;3,4;--;0,0;31,6;--
63476249146530;31,6;0,0;--;0,0;31,6;--
63476249147670;31,6;0,0;--;0,0;31,6;--
63476249148764;31,6;0,0;--;0,0;31,6;--
63476249149808;34,0;2,5;--;0,0;31,6;--
63476249150819;31,6;0,0;--;0,0;31,6;--
63476249151836;33,2;1,7;--;0,0;31,6;--
63476249152964;31,6;0,0;--;0,0;31,6;--
63476249153972;31,6;0,0;--;0,0;31,6;--
63476249155095;34,0;2,4;--;0,0;31,6;--
63476249156174;31,6;0,0;--;0,0;31,6;--
63476249157231;35,0;3,4;--;0,0;31,6;--
63476249158245;31,6;0,0;--;0,0;31,6;--
63476249159274;31,6;0,0;--;0,0;31,6;--
63476249160321;31,6;0,0;--;0,0;31,6;--
63476249161398;33,4;1,9;--;0,0;31,6;--
63476249162412;31,9;0,3;--;0,0;31,6;--
63476249163424;32,7;1,1;--;0,0;31,6;--
63476249164533;33,2;1,7;--;0,0;31,6;--
63476249165546;31,6;0,0;--;0,0;31,6;--
63476249166594;31,6;0,0;--;0,0;31,6;--
63476249167669;31,9;0,4;--;0,0;31,6;--
63476249168684;32,0;0,5;--;0,0;31,6;--
63476249169851;32,8;1,3;--;0,0;31,6;--
63476249170916;32,1;0,5;--;0,0;31,6;--
63476249172006;31,6;0,0;--;0,0;31,6;--
63476249173027;32,9;1,3;--;0,0;31,6;--
63476249174144;31,6;0,0;--;0,0;31,6;--
63476249175190;32,4;0,9;--;0,0;31,6;--
63476249176201;31,6;0,0;--;0,0;31,6;--
63476249177327;31,9;0,3;--;0,0;31,6;--
63476249178439;33,1;1,6;--;0,0;31,6;--
63476249179477;32,8;1,2;--;0,0;31,6;--
63476249180556;31,6;0,0;--;0,0;31,6;--
63476249181599;31,6;0,0;--;0,0;31,6;--
63476249182612;32,0;0,5;--;0,0;31,6;--
63476249183642;32,6;1,0;--;0,0;31,6;--
63476249184780;32,3;0,7;--;0,0;31,6;--
